[sound:sentence_kannada_1.mp3]	Hi	ಹಾಯ್
[sound:sentence_kannada_25.mp3]	I love you (friends)	ನಿನ್ ಮೇಲೆ ನನಗೆ ಪ್ರೀತಿ ಇದೆ / ನಿಮ್ಮ ಮೇಲೆ ನನಗೆ ಪ್ರೀತಿ ಇದೆ
[sound:sentence_kannada_26.mp3]	I love you (romantically)	ನಿನ್ನನ್ನ ಪ್ರೀತಿಸ್ತೀನಿ
[sound:sentence_kannada_27.mp3]	I love my mom	ಅಮ್ಮ ನಿನ್ನ ಮೇಲೆ ನನಗೆ ಪ್ರೀತಿ ಇದೆ
[sound:sentence_kannada_28.mp3]	Can you repeat that, please?	ದಯವಿಟ್ಟು ಅದನ್ನ ಇನ್ನೊಂದು ಸಲ ಹೇಳ್ತೀಯ?
[sound:sentence_kannada_29.mp3]	Could you repeat that slowly?	ಅದನ್ನ ಇನ್ನೊಂದು ಸಲ ನಿಧಾನವಾಗಿ ಹೇಳ್ತೀಯ?
[sound:sentence_kannada_30.mp3]	What does ___ mean?	____ ಅಂದರೆ ಏನರ್ಥ?
[sound:sentence_kannada_31.mp3]	Can you help me?	ನನಗೆ ಸಹಾಯ ಮಾಡ್ತೀಯ?
[sound:sentence_kannada_32.mp3]	I'm looking for ___	ನಾನು ____ ಅನ್ನು ಹುಡುಕ್ತಾ ಇದೀನಿ
[sound:sentence_kannada_33.mp3]	Where can I find ___?	____ ಎಲ್ಲಿ ಸಿಗತ್ತೆ?
[sound:sentence_kannada_34.mp3]	How are you feeling?	ಹೇಗನ್ನಿಸ್ತಾ ಇದೆ?
[sound:sentence_kannada_35.mp3]	Are you happy?	ಖುಷಿಯಾಗಿದ್ದೀಯ?
[sound:sentence_kannada_36.mp3]	Are you tired?	ಸುಸ್ತಾಗಿದ್ದೀಯ?
[sound:sentence_kannada_37.mp3]	She is vegetarian	ಅವಳು ಸಸ್ಯಹಾರಿ
[sound:sentence_kannada_38.mp3]	He is not vegetarian	ಅವನು ಸಸ್ಯಹಾರಿ ಅಲ್ಲ
[sound:sentence_kannada_39.mp3]	I'm not vegetarian	ನಾನು ಸಸ್ಯಹಾರಿ ಅಲ್ಲ
[sound:sentence_kannada_40.mp3]	I can't have dairy	ನಾನು ಹಾಲಿನ ಪದಾರ್ಥ ತಿನ್ನುವ ಹಾಗಿಲ್ಲ
[sound:sentence_kannada_41.mp3]	We don't drink (alcohol)	ನಾವು ಕುಡಿಯುವುದಿಲ್ಲ
[sound:sentence_kannada_42.mp3]	I'm hungry	ನನಗೆ ಹಸಿವಾಗ್ತಾ ಇದೆ
[sound:sentence_kannada_43.mp3]	I'm feeling too hot	ನನಗೆ ತುಂಬಾ ಸೆಕೆಯಾಗ್ತಾ ಇದೆ
[sound:sentence_kannada_44.mp3]	I'm tired	ನನಗೆ ಸುಸ್ತಾಗಿದೆ
[sound:sentence_kannada_45.mp3]	I'm happy	ಖುಶಿಯಾಗಿದೀನಿ
[sound:sentence_kannada_46.mp3]	I don't know	ಗೊತ್ತಿಲ್ಲ
[sound:sentence_kannada_47.mp3]	I have no idea	ಏನೋ ಗೊತ್ತಿಲ್ಲ
[sound:sentence_kannada_48.mp3]	I'll be back in a moment	ಬರ್ತೀನಿ ಇರು ಒಂದು ನಿಮಿಷ
[sound:sentence_kannada_49.mp3]	Have you seen my ___?	ನನ್ನ _____ ನ್ನ ಎಲ್ಲಾದ್ರೂ ನೋಡಿದ್ಯ?
[sound:sentence_kannada_50.mp3]	Your mom is nice	ನಿಮ್ಮ ಅಮ್ಮ ಒಳ್ಳೆಯವರು
[sound:sentence_kannada_51.mp3]	Your dad is talkative	ನಿಮ್ಮ ಅಪ್ಪ ತುಂಬಾ ಮಾತಾಡ್ತಾರೆ
[sound:sentence_kannada_52.mp3]	You are beautiful	ನೀನು ತುಂಬಾ ಮುದ್ದಾಗಿದ್ದೀಯ
[sound:sentence_kannada_53.mp3]	I'm proud of you	ನಿನ್ನ ಮೇಲೆ ನನಗೆ ಹೆಮ್ಮೆ ಇದೆ
[sound:sentence_kannada_54.mp3]	I believe in you	ನಿನ್ನ ಮೇಲೆ ನನಗೆ ನಂಬಿಕೆ ಇದೆ
[sound:sentence_kannada_55.mp3]	You got this	ನಿನ್ನ ಕೈಲಿ ಆಗತ್ತೆ
[sound:sentence_kannada_56.mp3]	Stop it	ನಿಲ್ಲಿಸು
[sound:sentence_kannada_57.mp3]	Please continue	ಮುಂದುವರೆಸು
[sound:sentence_kannada_58.mp3]	Are you alright?	ಹುಷಾರಾಗಿದೀಯ?
[sound:sentence_kannada_59.mp3]	I want to cook	ನಾನು ಅಡುಗೆ ಮಾಡಬೇಕು
[sound:sentence_kannada_60.mp3]	Where is your dad?	ನಿಮ್ಮ ಅಪ್ಪ ಎಲ್ಲಿದ್ದಾರೆ?
[sound:sentence_kannada_61.mp3]	I miss you	ನಿನ್ನನ್ನ ಮಿಸ್ ಮಾಡಿಕೊಳ್ತಿದೀನಿ
[sound:sentence_kannada_62.mp3]	I apologize	ಕ್ಷಮೆ ಕೇಳ್ತೀನಿ
[sound:sentence_kannada_63.mp3]	I'm heading out	ಆಚೆ ಹೋಗ್ತಾ ಇದೀನಿ
[sound:sentence_kannada_64.mp3]	I'm headed home	ಮನೆಗೆ ಹೋಗ್ತಾ ಇದೀನಿ
[sound:sentence_kannada_65.mp3]	I'm at the office	ಆಫೀಸ್‌ನಲ್ಲಿದೀನಿ
[sound:sentence_kannada_66.mp3]	Have a good trip	ಒಳ್ಳೇ ಟ್ರಿಪ್ ಮಾಡಿಕೊಂಡು ಬನ್ನಿ
[sound:sentence_kannada_67.mp3]	I am busy	ನನಗೆ ಪುರುಸೊತ್ತಿಲ್ಲ
[sound:sentence_kannada_68.mp3]	Hurry up	ಬೇಗ ಬೇಗ
[sound:sentence_kannada_69.mp3]	Wake up	ಎದ್ದೇಳು
[sound:sentence_kannada_70.mp3]	I agree	ನಾನು ಒಪ್ತೀನಿ
[sound:sentence_kannada_71.mp3]	Try again	ಮತ್ತೆ ಪ್ರಯತ್ನಿಸು
[sound:sentence_kannada_72.mp3]	Let's go	ಹೋಗೋಣ ನಡಿ
[sound:sentence_kannada_73.mp3]	Follow me	ನನ್ನ ಹಿಂದೆ ಬಾ
[sound:sentence_kannada_74.mp3]	Go to sleep	ಮಲಗು
